Outlet Name,Year Founded,Website,Zip Code,Location,State,Outlet Phone Number,Outlet Email,Primary Community Served,Community Served,Editorial Focus,Language,Primary Format,Format,Frequency,Primary Scope,Scope,X (formerly Twitter),Facebook,YouTube,Direct Verification
KBC News (Washington Korean Broadcasting Company),1980,https://washingtonkbc.kr/,22003,"Annandale, VA",Virginia,704-354-4900,yongchanpak@washingtonkbc.com,Korean American,Korean American,,Korean,Radio,"Radio,Website",Daily,Local,Local,,,https://youtube.com/@washingtonkbcnews,
KBFD TV,1976,https://kbfd.com/,96813,"Honolulu, HI",Hawaii,(808) 521-8066,news@kbfd.com,Korean American,Korean American,,"Korean,English",Television,"Television,Website",24/7,Local,Local,,https://facebook.com/kbfdtv/,https://youtube.com/channel/UCrHU0Q6fd9UkEVN0MeAe5yw,
KBIF 900 AM,1954,https://900hmongradio.com/,93705,"Fresno, CA",California,(559) 222-0900,kbifkirv@aol.com,Asian American,"Hmong American,Indian American,Laotian American,South Asian American,Southeast Asian American",,"Hindi,Hmong,Lao,Punjabi,English",Radio,Radio,Daily,Local,Local,,https://facebook.com/KBIF900/,,verified
KBS America,2004,https://kbs-america.com/,90005,"Los Angeles, CA",California,(213) 739-1111,info@kbs-america.com,Korean American,Korean American,,Korean,Television,"Television,Website",24/7,Local,Local,https://twitter.com/kbsamericainc,https://www.facebook.com/KBSAmericaInc/,https://www.youtube.com/@KBS-America,
KBS World: Washington,2003,https://kbswa.com,98037,"Lynwood, WA",Washington,(253) 375-6128,info@kbswa.com,Korean American,Korean American,,Korean,Television,Television,24/7,Diasporic,"Local,Diasporic",,https://www.facebook.com/kbswa/,https://www.youtube.com/@kbswatv,
KCdesi,2001,https://www.kcdesi.com/,,"Overland Park, KS",Kansas,(913) 488-2719,webmaster@kcdesi.com,Indian American,"Indian American,South Asian American",,English,Website,Website,Daily,Local,Local,,https://www.facebook.com/kcdesi,https://www.youtube.com/c/Kcdesi,
KEMS TV,2010,https://kemstv.com/,95054,"Santa Clara, CA",California,(408) 588-0001,info@kemstv.com,Korean American,Korean American,,Korean,Television,"Television,Website",24/7,Local,Local,,https://www.facebook.com/kemstv,,
Kerala Express,1992,https://keralaexpress.com/,60076,"Skokie, IL",Illinois,(630) 728-7956,news@keralaexpress.com,Indian American,Indian American,,Malayalam,Newspaper,"Newspaper,Newsletter,Website",Weekly,Local,Local,,,,
KEST 1450 AM,1996,https://kestradio.com/,94103,"San Francisco, CA",California,(415) 978-5378,KEST1450@sbcglobal.net,Chinese-Speaking,"Chinese American,Taiwanese American,Chinese Diaspora",,"Cantonese,Mandarin",Radio,"Radio,Website",Daily,Local,Local,,https://www.facebook.com/kestam1450/,,
Ketagalan Media,2013,https://ketagalanmedia.com/,,"Mountain View, CA",California,,contact@ketagalanmedia.com,Taiwanese American,Taiwanese American,,English,Website,Website,Daily,National,National,https://twitter.com/KetagalanMedia,https://facebook.com/ketagalanmedia,,
Khaas Bhaat,2004,https://khaasbaat.com/,33647,"Tampa, FL",Florida,(813) 758-0518,editor@khaasbaat.com,Indian American,Indian American,,English,Newspaper,"Newspaper,Newsletter,Website",Monthly,Local,Local,https://twitter.com/khaasbaat,https://www.facebook.com/Khaasbaat.Florida/,,
Khabar,1992,https://khabar.com,30096,"Duluth, GA",Georgia,(770) 451-3067 x2,info@khabar.com,Indian American,"Indian American,South Asian American",,English,Magazine,"Magazine,Digital Magazine,Newsletter,Website",Monthly,Local,Local,https://twitter.com/khabarmagazine?lang=en,https://www.facebook.com/khabarmag/,https://www.youtube.com/@khabarmagazine6924,
Khaosod USA,2013,https://khaosod.us/,90038,"Los Angeles, CA",California,(323) 464-1425,khaosod@yahoo.com,Thai American,Thai American,,"Thai,English",Website,"Newspaper,Television,Website",Daily,Local,Local,,https://facebook.com/khaosodusanews,"https://youtube.com/@KhaosodTV
",
Khasokhas,2012,https://khasokhas.com/,11368,"Corona, NY",New York,(347) 915-5052,khasokhas@gmail.com,Nepali American,"Nepali American,Bhutanese American,Bhutanese Nepali American",,"Nepali,English",Website,Website,Daily,Local,"Local,National,Diasporic",https://twitter.com/khasokhas,https://facebook.com/khasokhas,https://youtube.com/khasokhas,verified
Khmer Magazine,2022,https://khmermagazine.com/,90706,"Bellflower, CA",California,,sales@khmertv.com,Cambodian American,Cambodian American,Arts and Culture,"Khmer,English",Magazine,"Magazine,Digital Magazine,Website",Biannual,National,National,,,,verified
Khmer TV,2013,https://khmertv.com/,90706,"Bellflower, CA",California,(562) 372-3788,sales@khmertv.com,Cambodian American,Cambodian American,,"Khmer,English",Television,"Television,Magazine,Website",24/7,National,"Local,National,Diasporic",https://twitter.com/KhmerTV_SoCal,https://facebook.com/khmertvinc/,https://www.youtube.com/@KhmerTVinc,verified
KhmerPost USA,2008,https://khmerpostusa.com/,01853,"Lowell, MA",Massachusetts,(978) 656-8141,khmerpostusa@gmail.com,Cambodian American,Cambodian American,,"Khmer,English",Newspaper,"Newspaper,Digital Newspaper,Website",Bimonthly,Local,"Local,National",https://twitter.com/khmerpostusa,https://facebook.com/khmerpostusa,https://www.youtube.com/@KhmerPostUSA,verified
Kigyo Gaikyo News (aka US Japan Publications),1985,https://ujpdb.com/,10001,"New York, NY",New York,(212) 252-8833,admin@ujp.com,Japanese American,Japanese American,Business,"Japanese,English",Newspaper,"Newspaper,Website",Monthly,Local,Local,https://twitter.com/UJPinfo,https://www.facebook.com/usjapanpublication,,
KJAY Radio 1430 AM and 98.1 FM,1963,https://kjayradio.net,95691,"Sacramento, CA",California,(916) 371-5101,kjay1430@gmail.com,Hmong American,Hmong American,"Christian, Multicultural",Hmong,Radio,Radio,Daily,Local,Local,https://twitter.com/KJAY1430AM,https://www.facebook.com/profile.php?id=100035392462925,,
KKHJ (93 KHJ) 93.1 FM,1999,https://www.southseasbroadcasting.com/93khj/,96799,"Tafuna, American Samoa",American Samoa,(684) 633-7793,info@southseasbroadcasting.com,Samoan,Samoan,,"Samoan,English",Radio,"Radio,Television,Podcast,Website",Daily,Local,Local,https://twitter.com/kkhjfm,https://www.facebook.com/KKHJ.FM/,https://www.youtube.com/@islandtelevisionch10,
KMRB 1430 AM,1994,https://www.am1430.net/,91101,"Pasadena, CA",California,(626) 773-1430,am1430.net@gmail.com,Chinese-Speaking,"Chinese American,Hong Kong Chinese American,Chinese Diaspora",,Cantonese,Radio,"Radio,Website",24/7,Local,Local,,https://www.facebook.com/kmrbam1430,https://www.youtube.com/@KMRBLA,
KNDI Radio 1270 AM,1960,https://kndi.com/p/home.html,96826,"Honolulu, HI",Hawaii,(808) 946-2844,kndiradio@hawaii.rr.com,AAPI,"Chinese American,Filipino American,Japanese American,Laotian American,Marshallese,Samoan,Tongan,Vietnamese American,Micronesian,Asian American,Pacific Islander,Multiethnic",,"Cantonese,Chuukese,Ilocano,Lao,Mandarin,Marshallese,Okinawan,Pohnpeian,Spanish,Tagalog,Tongan,Vietnamese,English",Radio,"Radio,Website",24/7,Local,Local,,https://www.facebook.com/KNDIRADIO1270AM/,,
KOAM-TV Washington,1984,http://https://koamtvseattle.com/,98001,"Federal Way, WA",Washington,(253) 946-5537,davidpark.koamtv@gmail.com,Korean American,Korean American,,Korean,Television,"Television,Website",24/7,Local,Local,https://twitter.com/KOAMTV,,https://youtube.com/channel/UCAiS8YaIHNTEi1P5HGGf4Hg,
Kokoro Kara Magazine,2011,https://heartmountain.org/about/news/kokoro-kara-magazine/,82435,"Powell, WY",Wyoming,(307) 754-8000,info@heartmountain.org,Japanese American,Japanese American,,English,Magazine,"Magazine,Digital Magazine",Quarterly,National,National,https://twitter.com/HeartMountainWY,https://facebook.com/heartmountainwy/,https://youtube.com/c/HeartMountainWyomingFoundation,verified
Korea 24 News Media,2005,https://korea24newsmedia.com/,,"San Jose, CA",California,(510) 789-7915,korea24news@gmail.com,Korean American,Korean American,,Korean,Television,"Television,Website",24/7,Local,"Local,National",,,,
Korea Daily Times,2017,https://koreadailytimes.com/,94404,"Foster City, CA",California,,pkk@koreadailytimes.com,Korean American,Korean American,,Korean,Website,Website,Daily,Local,"Local,National,Diasporic",,https://www.facebook.com/kdtimes1,,
Korea Herald Business,2005,https://heraldk.com,90621,"Los Angeles, CA",California,(213) 487-0100,malee@koreaheraldbiz.com,Korean American,Korean American,,"Korean,English",Newspaper,"Newspaper,Digital Newspaper,Website",Weekly,Local,Local,,,,verified
Korea Portal,2012,http://en.koreaportal.com/,10004,"New York, NY",New York,(646) 663-1510,comments@koreaportal.com,Korean American,Korean American,,"Korean,English",Website,Website,Daily,National,"Local,National",https://twitter.com/KoreaPortal,https://www.facebook.com/koreaportal/,https://www.youtube.com/@koreaportal11,
Korea Times / Hankook Ilbo America: Atlanta,2008,https://higoodday.com/,30046,"Lawrenceville, GA",Georgia,(770) 622-9600,ekoreatimes@gmail.com,Korean American,Korean American,,Korean,Newspaper,"Newspaper,Digital Newspaper,Website",Daily,Local,"Local,National",https://twitter.com/koreatimes,https://www.facebook.com/koreatimesAtl,https://www.youtube.com/@offthegridwithpresslee,
Korea Times / Hankook Ilbo America: Chicago (aka Win Media Inc / Korea Times of Midwest Inc),1971,https://chicagokoreatimes.com/,60090,"Wheeling, IL",Illinois,(847) 290-8282,edit@chicagokoreatimes.com,Korean American,Korean American,,Korean,Newspaper,"Newspaper,Website",Daily,Local,"Local,National",https://twitter.com/koreatimes,https://facebook.com/KOREATIMESchicago/,,verified
Korea Times / Hankook Ilbo America: Hawaii,1972,https://hawaii.koreatimes.com/,96826,"Honolulu, HI",Hawaii,(808) 955-1234,infokoreatimeshawaii@yahoo.com,Korean American,Korean American,,Korean,Newspaper,"Newspaper,Digital Newspaper,Radio,Website",Daily,Local,"Local,National",https://twitter.com/koreatimes,https://facebook.com/koreatimes,,
Korea Times / Hankook Ilbo America: Los Angeles,1969,https://la.koreatimes.com/,90010,"Los Angeles, CA",California,(323) 692-2000,laad@koreatimes.com,Korean American,Korean American,,Korean,Newspaper,"Newspaper,Digital Newspaper,Radio,Website",Daily,Local,"Local,National",https://twitter.com/koreatimes,https://facebook.com/koreatimes/,,
Korea Times / Hankook Ilbo America: New York/New Jersey,1996,https://ny.koreatimes.com/,11354,"Flushing, NY",New York,(718) 482-1122,ad_ny@koreatimes.com,Korean American,Korean American,,Korean,Newspaper,"Newspaper,Digital Newspaper,Newsletter,Radio,Television,Website",Daily,Local,"Local,National",,,,verified
Korea Times / Hankook Ilbo America: Seattle,1986,https://seattle.koreatimes.com/,98133,"Seattle, WA",Washington,(206) 622-2229,ktimesad@hotmail.com,Korean American,Korean American,,Korean,Newspaper,"Newspaper,Digital Newspaper,Television,Radio,Website",Daily,Local,"Local,National",https://twitter.com/koreatimes,https://facebook.com/koreatimes,,
"Korea Times / Hankook Ilbo America: Washington, D.C.",1970,https://dc.koreatimes.com/,22003,"Annandale, VA",Virginia,(703) 941-8001,dcad@koreatimesus.com,Korean American,Korean American,,Korean,Newspaper,"Newspaper,Digital Newspaper,Radio,Television,Website",Daily,Local,"Local,National",https://twitter.com/koreatimes,https://www.facebook.com/thekoreatimesdc/,,verified
Korea Times Texas,2019,https://koreatimestx.com/,75229,"Dallas, TX",Texas,(972) 243-0005,info@koreatimestx.com,Korean American,Korean American,,Korean,Website,Website,Daily,Local,Local,,https://facebook.com/koreatimestx/,https://www.youtube.com/@koreatimestexas7580,
Korea Today Radio Network WKTV USA,1986,https://wktvusa.com/,22031,"Fairfax, VA",Virginia,(703) 560-1590,pro@wktvusa.com,Korean American,Korean American,,Korean,Television,"Television,Radio,Website",24/7,National,"Local,National",,https://facebook.com/wktv.wktvusa,https://www.youtube.com/@WKTVNETWORK,
Korea Weekly of Florida (aka Korea Times of Florida),1997,https://www.koreaweeklyfl.com/news/,32750,"Longwood, FL",Florida,(407) 415-0059,koreaweeklyfl@gmail.com ,Korean American,Korean American,,Korean,Website,Website,Weekly,Local,Local,,,,
Korean American Story,2010,https://koreanamericanstory.org/,,"Scarsdale, NY",New York,(914) 623-8847,info@koreanamericanstory.org,Korean American,"Korean American,Multiethnic",,"Korean,English",Website,"Podcast,Website",Monthly,National,"Local,National,Diasporic",https://twitter.com/ka_story,https://www.facebook.com/KoreanAmericanStory.org,https://www.youtube.com/@KoreanAmericanStory,
Korean Arizona Times,2010,https://koreanaztimes.com/,85006,"Phoenix, AZ",Arizona,(602) 264-5780,editor@koreanAZtimes.com,Korean American,Korean American,,Korean,Newspaper,"Newspaper,Television,Website",Weekly,Local,Local,https://twitter.com/koreanaztimes,https://facebook.com/profile.php?id=100001729344063,https://www.youtube.com/@koreanaztimesmovie,
Korean Broadcasting Network (KBN News),2006,https://www.mykbn.com/,07024,"Palisades Park, NJ",New Jersey,(201) 282-4116,chkoreanews@gmail.com,Korean American,Korean American,,"Korean,English",Television,"Television,Website",Daily,Local,Local,https://twitter.com/myKBN/,https://www.facebook.com/KoreanBroadcastingNetwork,https://www.youtube.com/@KBNnews1493,
Korean Christian Journal,1978,https://www.kcjlogos.org/,60062,"Northbrook, IL",Illinois,(773) 777-7779,kcj@kcj777.com,Korean American,Korean American,Christian,Korean,Newspaper,"Newspaper,Digital Newspaper,Newsletter,Website",Monthly,Local,Local,,,https://www.youtube.com/@LogosMissions,
Korean Christian Press: Los Angeles,1993,https://chpress.net/,90005,"Los Angeles, CA",California,(213) 674-7982,lachpress@gmail.com,Korean American,Korean American,Christian,Korean,Newspaper,"Newspaper,Digital Newspaper,Website",Weekly,Local,Local,,,,
Korean Christian Press: New York,1993,https://chpress.net/,11355,"New York, NY",New York,(718) 886-4400,nychpress@gmail.com,Korean American,Korean American,Christian,Korean,Newspaper,"Newspaper,Digital Newspaper,Website",Weekly,Local,Local,,,,
Korean Journal Houston,1982,https://houston.kjhou.com/,77055,"Houston, TX",Texas,(713) 467-4266,kjhou2000@yahoo.com,Korean American,Korean American,,Korean,Newspaper,"Newspaper,Digital Newspaper,Website",Weekly,Local,Local,https://twitter.com/kjhouston,https://facebook.com/koreanjournalhouston/,https://www.youtube.com/@koreanjournaltv,verified
Korean Phila Times (aka Jugan Phila),1999,https://juganphila.com/index.html,19046,"Elkins Park, PA",Pennsylvania,(215) 663-2400,news@juganphila.com,Korean American,Korean American,,English,Newspaper,"Newspaper,Digital Newspaper",Weekly,Local,Local,,,,
Korean Quarterly,1997,https://www.koreanquarterly.org/,55106,"St. Paul, MN",Minnesota,(651) 398-2325,koreanquarterly@gmail.com,Korean American,"Korean American,Asian American,Multiethnic",,English,Website,Website,Quarterly,National,"Local,National","https://twitter.com/KQOfficial
","https://www.facebook.com/groups/48418565496
",,verified
Korean Sunday News,1985,,90010,"Los Angeles, CA",California,(323) 954-7500,koreansundaynews@yahoo.com,Korean American,Korean American,,Korean,Newspaper,Newspaper,Weekly,Local,Local,,https://www.facebook.com/koreanwaveus/,,
Korean Times of Utah,2002,https://utahkorean.com/,84152,"Salt Lake City, UT",Utah,(801) 595-1004,utahnews@gmail.com,Korean American,Korean American,,Korean,Website,Website,Bimonthly,Local,Local,,https://www.facebook.com/koreancenter/,,
Koreatown Daily (aka Sports Seoul USA),1999,https://koreatowndaily.com/,90010,"Los Angeles, CA",California,(213) 687-1000,info@sportsseoulusa.com,Korean American,Korean American,,Korean,Website,"Newsletter,Website",Daily,Local,Local,,https://www.facebook.com/koreatowndaily/,,
Koreatown News (KTN),2012,https://dalkora.com/bbs/main.php?gid=ktn,75229,"Dallas, TX",Texas,(972) 620-6296,info@dallasktn.com,Korean American,Korean American,,Korean,Newspaper,"Newspaper,Digital Newspaper,Website",Weekly,Local,Local,,https://www.facebook.com/dallasktn/,https://www.youtube.com/@KtnKoreaTownNews,
KTN Newsroom,1987,https://ktnnewsroom.com/,30071,"Norcross, GA",Georgia,(770) 497-0015,ktnmediagroup@gmail.com,Korean American,Korean American,,Korean,Television,"Television,Website",Daily,Local,Local,,https://facebook.com/ktntv.ga/,https://youtube.com/@ktnnewsroom/videos,
KTSF Channel 26,1976,https://ktsf.com/,94005,"Brisbane, CA",California,(415) 468-2626,ang@ktsfnews.com,Chinese-Speaking,"Chinese American,Filipino American,Asian American,Indian American,Japanese American,Korean American,Taiwanese American,Vietnamese American",,"Cantonese,Hindi,Mandarin,Tagalog,Vietnamese,Chinese (Traditional),English",Website,"Television,Website",24/7,Local,Local,https://twitter.com/KTSF26,https://www.facebook.com/ktsf26,https://www.youtube.com/@ktsf,
Kulo'zine,2022,https://independentguahan.org/kulo-zine/,,"Hagåtña, Guam",Guam,,independentguahan@gmail.com,Guamanian,"Guamanian,Marianan,Micronesian,Pacific Islander","Arts and Culture, Indigenous","Chamorro,English",Magazine,"Magazine,Digital Magazine,Website",Quarterly,Diasporic,"Local,Diasporic",,,,
KVTO 1400 AM and 93.7 FM,1997,https://kvto.net/,94131,"San Francisco, CA",California,(415) 566-8808,jaime@inlanguageradio.com,Chinese-Speaking,"Chinese American,Hong Kong Chinese American,Taiwanese American,Chinese Diaspora",,"Cantonese,Mandarin,Chinese (Traditional)",Radio,"Radio,Website",24/7,Local,Local,,,,
